"segment","commodity_desc","total_tx","pct_in_segment","pct_in_population","affinity_index"
"OCCASIONAL CUSTOMER","MEAT - MISC","1079","0.4413","0.3646","121.04"
"OCCASIONAL CUSTOMER","PLASTIC HOUSEWARES","294","0.1203","0.1000","120.30"
"POTENTIAL LOYALIST","BABYFOOD","341","0.0501","0.0183","273.77"
"POTENTIAL LOYALIST","BAKING","174","0.0256","0.0155","165.16"
"POTENTIAL LOYALIST","SUSHI","360","0.0529","0.0329","160.79"
"POTENTIAL LOYALIST","NON-DAIRY BEVERAGES","244","0.0358","0.0241","148.55"
"POTENTIAL LOYALIST","REFRIGERATED","2969","0.4361","0.2965","147.08"
"POTENTIAL LOYALIST","CONDIMENTS","165","0.0242","0.0176","137.50"
"POTENTIAL LOYALIST","WATER","825","0.1212","0.0885","136.95"
"POTENTIAL LOYALIST","FROZEN","973","0.1429","0.1057","135.19"
"POTENTIAL LOYALIST","BEVERAGE","138","0.0203","0.0155","130.97"
"POTENTIAL LOYALIST","INFANT FORMULA","977","0.1435","0.1111","129.16"
"POTENTIAL LOYALIST","INFANT CARE PRODUCTS","480","0.0705","0.0555","127.03"
"POTENTIAL LOYALIST","SNKS/CKYS/CRKR/CNDY","512","0.0752","0.0593","126.81"
"POTENTIAL LOYALIST","PREPARED/PKGD FOODS","330","0.0485","0.0383","126.63"
"POTENTIAL LOYALIST","CEREAL/BREAKFAST","626","0.0920","0.0734","125.34"
"POTENTIAL LOYALIST","ORGANICS FRUIT & VEGETABLES","2102","0.3088","0.2489","124.07"
"POTENTIAL LOYALIST","HOSIERY/SOCKS","295","0.0433","0.0355","121.97"
"REGULAR","NON-DAIRY BEVERAGES","156","0.0502","0.0241","208.30"
"REGULAR","PREPAID WIRELESS&ACCESSORIES","188","0.0606","0.0430","140.93"
"REGULAR","CEREAL/BREAKFAST","308","0.0992","0.0734","135.15"
"REGULAR","FRZN ICE","398","0.1282","0.0951","134.81"
"REGULAR","FROZEN - BOXED(GROCERY)","155","0.0499","0.0374","133.42"
"REGULAR","FLOUR & MEALS","516","0.1662","0.1289","128.94"
"REGULAR","CANNED MILK","293","0.0944","0.0750","125.87"
"REGULAR","PREPARED/PKGD FOODS","148","0.0477","0.0383","124.54"
"REGULAR","MISC WINE","212","0.0683","0.0555","123.06"
"REGULAR","PWDR/CRYSTL DRNK MX","2138","0.6886","0.5623","122.46"
"REGULAR","REFRGRATD JUICES/DRNKS","4585","1.4768","1.2123","121.82"
"REGULAR","SPRING/SUMMER SEASONAL","310","0.0999","0.0824","121.24"
"REGULAR","FRZN JCE CONC/DRNKS","405","0.1304","0.1083","120.41"
"RISK OF LOSING","FRZN JCE CONC/DRNKS","282","0.1950","0.1083","180.06"
"RISK OF LOSING","FUEL","176","0.1217","0.0689","176.63"
"RISK OF LOSING","CIGARETTES","1069","0.7390","0.4746","155.71"
"RISK OF LOSING","HOT DOGS","858","0.5931","0.4588","129.27"
"RISK OF LOSING","BACON","819","0.5662","0.4438","127.58"
"RISK OF LOSING","DINNER SAUSAGE","853","0.5897","0.4626","127.48"
"RISK OF LOSING","MEAT - MISC","671","0.4639","0.3646","127.24"
"RISK OF LOSING","DELI MEATS","1751","1.2105","0.9709","124.68"
"RISK OF LOSING","SHAVING CARE PRODUCTS","278","0.1922","0.1549","124.08"
"RISK OF LOSING","FITNESS&DIET","209","0.1445","0.1166","123.93"
"RISK OF LOSING","ROLLS","379","0.2620","0.2128","123.12"
"RISK OF LOSING","FROZEN PIZZA","2907","2.0097","1.6705","120.31"
