"jenis_demographic","segmentasi","klasifikasi","total_rumah_tangga","persentase"
"classification_4","LOYALIST",NULL,"123","36.18"
"classification_1","LOYALIST",NULL,"123","36.18"
"classification_5","LOYALIST",NULL,"123","36.18"
"classification_4","OCCASIONAL CUSTOMER","1","8","1.31"
"kid_category_desc","OCCASIONAL CUSTOMER","1","9","1.47"
"kid_category_desc","OCCASIONAL CUSTOMER","2","3","0.49"
"classification_4","OCCASIONAL CUSTOMER","2","15","2.45"
"classification_4","OCCASIONAL CUSTOMER","3","8","1.31"
"kid_category_desc","OCCASIONAL CUSTOMER","3+","5","0.82"
"classification_4","OCCASIONAL CUSTOMER","4","3","0.49"
"classification_4","OCCASIONAL CUSTOMER","5+","5","0.82"
"classification_1","OCCASIONAL CUSTOMER","Age Group1","2","0.33"
"classification_1","OCCASIONAL CUSTOMER","Age Group2","7","1.14"
"classification_1","OCCASIONAL CUSTOMER","Age Group3","8","1.31"
"classification_1","OCCASIONAL CUSTOMER","Age Group4","16","2.61"
"classification_1","OCCASIONAL CUSTOMER","Age Group5","2","0.33"
"classification_1","OCCASIONAL CUSTOMER","Age Group6","4","0.65"
"classification_5","OCCASIONAL CUSTOMER","Group1","3","0.49"
"classification_5","OCCASIONAL CUSTOMER","Group2","4","0.65"
"classification_5","OCCASIONAL CUSTOMER","Group3","5","0.82"
"classification_5","OCCASIONAL CUSTOMER","Group4","14","2.29"
"classification_5","OCCASIONAL CUSTOMER","Group5","12","1.96"
"classification_5","OCCASIONAL CUSTOMER","Group6","1","0.16"
"homeowner_desc","OCCASIONAL CUSTOMER","Homeowner","30","4.90"
"classification_3","OCCASIONAL CUSTOMER","Level1","2","0.33"
"classification_3","OCCASIONAL CUSTOMER","Level2","3","0.49"
"classification_3","OCCASIONAL CUSTOMER","Level3","3","0.49"
"classification_3","OCCASIONAL CUSTOMER","Level4","6","0.98"
"classification_3","OCCASIONAL CUSTOMER","Level5","10","1.63"
"classification_3","OCCASIONAL CUSTOMER","Level6","6","0.98"
"classification_3","OCCASIONAL CUSTOMER","Level7","3","0.49"
"classification_3","OCCASIONAL CUSTOMER","Level8","3","0.49"
"classification_3","OCCASIONAL CUSTOMER","Level9","3","0.49"
"kid_category_desc","OCCASIONAL CUSTOMER","None/Unknown","22","3.59"
"homeowner_desc","OCCASIONAL CUSTOMER","Unknown","9","1.47"
"classification_2","OCCASIONAL CUSTOMER","X","17","2.78"
"classification_2","OCCASIONAL CUSTOMER","Y","18","2.94"
"classification_2","OCCASIONAL CUSTOMER","Z","4","0.65"
"classification_4","OCCASIONAL CUSTOMER",NULL,"573","93.63"
"classification_1","OCCASIONAL CUSTOMER",NULL,"573","93.63"
"classification_2","OCCASIONAL CUSTOMER",NULL,"573","93.63"
"homeowner_desc","OCCASIONAL CUSTOMER",NULL,"573","93.63"
"classification_5","OCCASIONAL CUSTOMER",NULL,"573","93.63"
"kid_category_desc","OCCASIONAL CUSTOMER",NULL,"573","93.63"
"classification_3","OCCASIONAL CUSTOMER",NULL,"573","93.63"
"classification_4","POTENTIAL LOYALIST","1","86","16.35"
"kid_category_desc","POTENTIAL LOYALIST","1","33","6.27"
"kid_category_desc","POTENTIAL LOYALIST","2","19","3.61"
"classification_4","POTENTIAL LOYALIST","2","102","19.39"
"classification_4","POTENTIAL LOYALIST","3","29","5.51"
"kid_category_desc","POTENTIAL LOYALIST","3+","20","3.80"
"classification_4","POTENTIAL LOYALIST","4","18","3.42"
"classification_4","POTENTIAL LOYALIST","5+","20","3.80"
"classification_1","POTENTIAL LOYALIST","Age Group1","12","2.28"
"classification_1","POTENTIAL LOYALIST","Age Group2","53","10.08"
"classification_1","POTENTIAL LOYALIST","Age Group3","57","10.84"
"classification_1","POTENTIAL LOYALIST","Age Group4","93","17.68"
"classification_1","POTENTIAL LOYALIST","Age Group5","16","3.04"
"classification_1","POTENTIAL LOYALIST","Age Group6","24","4.56"
"classification_5","POTENTIAL LOYALIST","Group1","12","2.28"
"classification_5","POTENTIAL LOYALIST","Group2","33","6.27"
"classification_5","POTENTIAL LOYALIST","Group3","46","8.75"
"classification_5","POTENTIAL LOYALIST","Group4","58","11.03"
"classification_5","POTENTIAL LOYALIST","Group5","80","15.21"
"classification_5","POTENTIAL LOYALIST","Group6","26","4.94"
"homeowner_desc","POTENTIAL LOYALIST","Homeowner","165","31.37"
"classification_3","POTENTIAL LOYALIST","Level1","19","3.61"
"classification_3","POTENTIAL LOYALIST","Level10","3","0.57"
"classification_3","POTENTIAL LOYALIST","Level11","3","0.57"
"classification_3","POTENTIAL LOYALIST","Level12","1","0.19"
"classification_3","POTENTIAL LOYALIST","Level2","19","3.61"
"classification_3","POTENTIAL LOYALIST","Level3","28","5.32"
"classification_3","POTENTIAL LOYALIST","Level4","48","9.13"
"classification_3","POTENTIAL LOYALIST","Level5","72","13.69"
"classification_3","POTENTIAL LOYALIST","Level6","32","6.08"
"classification_3","POTENTIAL LOYALIST","Level7","11","2.09"
"classification_3","POTENTIAL LOYALIST","Level8","10","1.90"
"classification_3","POTENTIAL LOYALIST","Level9","9","1.71"
"kid_category_desc","POTENTIAL LOYALIST","None/Unknown","183","34.79"
"homeowner_desc","POTENTIAL LOYALIST","Probable Owner","3","0.57"
"homeowner_desc","POTENTIAL LOYALIST","Probable Renter","3","0.57"
"homeowner_desc","POTENTIAL LOYALIST","Renter","13","2.47"
"homeowner_desc","POTENTIAL LOYALIST","Unknown","71","13.50"
"classification_2","POTENTIAL LOYALIST","X","105","19.96"
"classification_2","POTENTIAL LOYALIST","Y","107","20.34"
"classification_2","POTENTIAL LOYALIST","Z","43","8.17"
"classification_3","POTENTIAL LOYALIST",NULL,"271","51.52"
"classification_1","POTENTIAL LOYALIST",NULL,"271","51.52"
"classification_5","POTENTIAL LOYALIST",NULL,"271","51.52"
"homeowner_desc","POTENTIAL LOYALIST",NULL,"271","51.52"
"classification_2","POTENTIAL LOYALIST",NULL,"271","51.52"
"kid_category_desc","POTENTIAL LOYALIST",NULL,"271","51.52"
"classification_4","POTENTIAL LOYALIST",NULL,"271","51.52"
"classification_4","REGULAR","1","44","12.57"
"kid_category_desc","REGULAR","1","13","3.71"
"kid_category_desc","REGULAR","2","4","1.14"
"classification_4","REGULAR","2","48","13.71"
"classification_4","REGULAR","3","13","3.71"
"kid_category_desc","REGULAR","3+","11","3.14"
"classification_4","REGULAR","4","2","0.57"
"classification_4","REGULAR","5+","10","2.86"
"classification_1","REGULAR","Age Group1","6","1.71"
"classification_1","REGULAR","Age Group2","17","4.86"
"classification_1","REGULAR","Age Group3","26","7.43"
"classification_1","REGULAR","Age Group4","48","13.71"
"classification_1","REGULAR","Age Group5","8","2.29"
"classification_1","REGULAR","Age Group6","12","3.43"
"classification_5","REGULAR","Group1","7","2.00"
"classification_5","REGULAR","Group2","19","5.43"
"classification_5","REGULAR","Group3","21","6.00"
"classification_5","REGULAR","Group4","19","5.43"
"classification_5","REGULAR","Group5","40","11.43"
"classification_5","REGULAR","Group6","11","3.14"
"homeowner_desc","REGULAR","Homeowner","68","19.43"
"classification_3","REGULAR","Level1","7","2.00"
"classification_3","REGULAR","Level10","1","0.29"
"classification_3","REGULAR","Level12","1","0.29"
"classification_3","REGULAR","Level2","18","5.14"
"classification_3","REGULAR","Level3","10","2.86"
"classification_3","REGULAR","Level4","30","8.57"
"classification_3","REGULAR","Level5","22","6.29"
"classification_3","REGULAR","Level6","13","3.71"
"classification_3","REGULAR","Level7","4","1.14"
"classification_3","REGULAR","Level8","6","1.71"
