"monetary","total","persentase"
"405.83","1","0.04"
"406.25","1","0.04"
"406.96","1","0.04"
"407.38","1","0.04"
"409.73","1","0.04"
"411.45","1","0.04"
"412.54","1","0.04"
"412.75","1","0.04"
"420.02","1","0.04"
"423.32","1","0.04"
"423.51","1","0.04"
"425.04","1","0.04"
"427.63","1","0.04"
"429.06","1","0.04"
"429.79","1","0.04"
"431.76","1","0.04"
"434.77","1","0.04"
"435.26","1","0.04"
"437.77","1","0.04"
"439.03","1","0.04"
"440.42","1","0.04"
"441.84","1","0.04"
"442.14","1","0.04"
"442.64","1","0.04"
"443.31","1","0.04"
"445.65","1","0.04"
"447.60","1","0.04"
"447.91","1","0.04"
"448.34","1","0.04"
"450.33","1","0.04"
"450.87","1","0.04"
"454.57","1","0.04"
"458.22","1","0.04"
"459.17","1","0.04"
"460.68","1","0.04"
"464.56","1","0.04"
"464.64","1","0.04"
"471.11","1","0.04"
"475.73","1","0.04"
"476.14","1","0.04"
"477.17","1","0.04"
"478.13","1","0.04"
"478.59","1","0.04"
"479.24","1","0.04"
"481.77","1","0.04"
"485.24","1","0.04"
"485.80","1","0.04"
"486.72","1","0.04"
"488.48","1","0.04"
"488.49","1","0.04"
"490.41","1","0.04"
"490.98","1","0.04"
"491.62","1","0.04"
"492.03","1","0.04"
"492.72","1","0.04"
"493.37","1","0.04"
"494.57","1","0.04"
"497.41","1","0.04"
"498.06","1","0.04"
"500.14","1","0.04"
"502.25","1","0.04"
"502.77","1","0.04"
"504.92","1","0.04"
"510.80","1","0.04"
"511.12","1","0.04"
"511.41","1","0.04"
"511.62","1","0.04"
"511.78","1","0.04"
"512.53","1","0.04"
"514.63","1","0.04"
"516.34","1","0.04"
"518.16","1","0.04"
"520.29","1","0.04"
"520.32","1","0.04"
"521.04","1","0.04"
"522.30","1","0.04"
"527.30","1","0.04"
"528.65","1","0.04"
"531.67","1","0.04"
"532.20","1","0.04"
"534.57","1","0.04"
"534.98","1","0.04"
"537.60","1","0.04"
"540.10","1","0.04"
"540.76","1","0.04"
"540.90","1","0.04"
"541.99","1","0.04"
"542.87","1","0.04"
"542.89","1","0.04"
"546.78","1","0.04"
"546.99","1","0.04"
"547.41","1","0.04"
"547.82","1","0.04"
"548.32","1","0.04"
"549.59","1","0.04"
"550.48","1","0.04"
"551.87","1","0.04"
"552.18","1","0.04"
"552.29","1","0.04"
"552.85","1","0.04"
"553.57","1","0.04"
"555.56","1","0.04"
"555.64","1","0.04"
"559.76","1","0.04"
"561.03","1","0.04"
"561.48","1","0.04"
"562.77","1","0.04"
"563.64","1","0.04"
"564.40","1","0.04"
"566.51","1","0.04"
"567.87","1","0.04"
"568.21","1","0.04"
"569.05","1","0.04"
"570.03","1","0.04"
"570.15","1","0.04"
"573.06","1","0.04"
"575.87","1","0.04"
"577.62","1","0.04"
"579.72","1","0.04"
"581.45","1","0.04"
"582.45","1","0.04"
"587.37","1","0.04"
"587.47","1","0.04"
"589.17","1","0.04"
"589.60","1","0.04"
"590.71","1","0.04"
"592.36","1","0.04"
"592.73","1","0.04"
"594.23","1","0.04"
"595.00","1","0.04"
"595.22","1","0.04"
"596.88","1","0.04"
"598.62","1","0.04"
"599.54","1","0.04"
"601.25","1","0.04"
"603.45","1","0.04"
"604.95","1","0.04"
"606.50","1","0.04"
"608.58","1","0.04"
"609.75","1","0.04"
"610.22","1","0.04"
"615.78","1","0.04"
"616.72","1","0.04"
"619.75","1","0.04"
"620.56","1","0.04"
"622.22","1","0.04"
"622.80","1","0.04"
"623.45","1","0.04"
"624.33","1","0.04"
"625.64","1","0.04"
"629.58","1","0.04"
"629.90","1","0.04"
"630.19","1","0.04"
"633.92","1","0.04"
"638.80","1","0.04"
"639.30","1","0.04"
"644.33","1","0.04"
"645.36","1","0.04"
"645.39","1","0.04"
"646.40","1","0.04"
"647.72","1","0.04"
"647.90","1","0.04"
"648.40","1","0.04"
"649.33","1","0.04"
"652.34","1","0.04"
"655.77","1","0.04"
"657.52","1","0.04"
"660.79","1","0.04"
"660.92","1","0.04"
"664.80","1","0.04"
"664.98","1","0.04"
"667.97","1","0.04"
"668.96","1","0.04"
"670.43","1","0.04"
"672.09","1","0.04"
"674.35","1","0.04"
"677.46","1","0.04"
"678.72","1","0.04"
"680.23","1","0.04"
"682.23","1","0.04"
"682.46","1","0.04"
"683.13","1","0.04"
"683.26","1","0.04"
"683.41","1","0.04"
"685.63","1","0.04"
"690.22","1","0.04"
"690.39","1","0.04"
"690.42","1","0.04"
"691.10","1","0.04"
"691.30","1","0.04"
"691.45","1","0.04"
"693.40","1","0.04"
"693.86","1","0.04"
"694.70","1","0.04"
"696.28","1","0.04"
"696.38","1","0.04"
"698.06","1","0.04"
"698.36","1","0.04"
"699.16","1","0.04"
"700.96","1","0.04"
"701.00","1","0.04"
"704.61","1","0.04"
"706.13","1","0.04"
"713.90","1","0.04"
"714.31","1","0.04"
"714.61","1","0.04"
"715.98","1","0.04"
"717.50","1","0.04"
"717.71","1","0.04"
"718.00","1","0.04"
"718.46","1","0.04"
"727.45","1","0.04"
"728.93","1","0.04"
"729.22","1","0.04"
"729.82","1","0.04"
"736.42","1","0.04"
"738.34","1","0.04"
"739.72","1","0.04"
"740.46","1","0.04"
"741.83","1","0.04"
"742.85","1","0.04"
"742.95","1","0.04"
"746.74","1","0.04"
"748.07","1","0.04"
"748.88","1","0.04"
"751.89","1","0.04"
"753.36","1","0.04"
"753.42","1","0.04"
"753.95","1","0.04"
"754.05","1","0.04"
"757.95","1","0.04"
"758.74","1","0.04"
"759.8300000000000001110223","1","0.04"
"760.45","1","0.04"
"760.89","1","0.04"
"765.37","1","0.04"
"766.40","1","0.04"
"769.72","1","0.04"
"770.15","1","0.04"
"771.51","1","0.04"
"773.39","1","0.04"
"773.76","1","0.04"
"778.40","1","0.04"
"779.06","1","0.04"
"779.29","1","0.04"
"780.92","1","0.04"
"781.34","1","0.04"
"783.33","1","0.04"
"786.45","1","0.04"
"786.53","1","0.04"
"786.99","1","0.04"
"787.04","1","0.04"
"788.29","1","0.04"
"788.40","1","0.04"
"791.34","1","0.04"
"791.54","1","0.04"
"792.20","1","0.04"
"793.38","1","0.04"
"797.42","1","0.04"
"800.11","1","0.04"
"801.41","1","0.04"
"801.63","1","0.04"
"801.99","1","0.04"
"805.07","1","0.04"
"807.09","1","0.04"
"809.21","1","0.04"
"812.28","1","0.04"
"818.41","1","0.04"
"818.56","1","0.04"
"819.13","1","0.04"
